m,TagName,
7/1/08,c#,3
8/1/08,assembly,8
8/1/08,javascript,162
8/1/08,c,85
8/1/08,python,124
8/1/08,perl,28
8/1/08,c#,511
8/1/08,c++,164
8/1/08,java,222
8/1/08,delphi,14
8/1/08,ruby,73
8/1/08,php,161
9/1/08,c,321
9/1/08,delphi,105
9/1/08,assembly,28
9/1/08,javascript,640
9/1/08,java,1137
9/1/08,c#,1649
9/1/08,perl,131
9/1/08,python,542
9/1/08,r,6
9/1/08,c++,755
9/1/08,php,482
9/1/08,ruby,290
10/1/08,delphi,112
10/1/08,java,1153
10/1/08,assembly,15
10/1/08,c#,1989
10/1/08,perl,127
10/1/08,c,303
10/1/08,php,617
10/1/08,python,510
10/1/08,javascript,725
10/1/08,c++,811
10/1/08,ruby,249
11/1/08,assembly,17
11/1/08,c#,1730
11/1/08,python,452
11/1/08,c,259
11/1/08,java,958
11/1/08,delphi,141
11/1/08,c++,735
11/1/08,javascript,579
11/1/08,perl,97
11/1/08,php,504
11/1/08,ruby,160
11/1/08,r,1
12/1/08,javascript,627
12/1/08,assembly,18
12/1/08,c,186
12/1/08,c#,1597
12/1/08,java,832
12/1/08,php,481
12/1/08,c++,633
12/1/08,delphi,134
12/1/08,r,1
12/1/08,python,441
12/1/08,perl,134
12/1/08,ruby,161
1/1/09,delphi,164
1/1/09,r,8
1/1/09,php,636
1/1/09,java,1150
1/1/09,c#,2378
1/1/09,assembly,22
1/1/09,c++,853
1/1/09,c,321
1/1/09,ruby,209
1/1/09,perl,147
1/1/09,swift,1
1/1/09,javascript,792
1/1/09,python,631
2/1/09,javascript,948
2/1/09,perl,165
2/1/09,python,630
2/1/09,c,332
2/1/09,c#,2599
2/1/09,assembly,37
2/1/09,java,1208
2/1/09,c++,845
2/1/09,r,9
2/1/09,ruby,287
2/1/09,delphi,168
2/1/09,swift,1
2/1/09,php,769
3/1/09,assembly,24
3/1/09,javascript,1005
3/1/09,c#,3162
3/1/09,c,430
3/1/09,java,1440
3/1/09,php,904
3/1/09,c++,1056
3/1/09,r,4
3/1/09,perl,139
3/1/09,delphi,162
3/1/09,ruby,330
3/1/09,python,765
3/1/09,swift,1
4/1/09,assembly,49
4/1/09,javascript,1050
4/1/09,python,768
4/1/09,java,1534
4/1/09,delphi,185
4/1/09,c++,1020
4/1/09,c#,3320
4/1/09,c,458
4/1/09,php,968
4/1/09,perl,161
4/1/09,ruby,358
4/1/09,r,12
5/1/09,javascript,1434
5/1/09,assembly,47
5/1/09,delphi,202
5/1/09,c,481
5/1/09,c#,3560
5/1/09,python,999
5/1/09,ruby,402
5/1/09,java,1819
5/1/09,c++,1218
5/1/09,perl,197
5/1/09,php,1183
5/1/09,r,2
5/1/09,swift,2
6/1/09,c,505
6/1/09,java,2115
6/1/09,assembly,49
6/1/09,delphi,222
6/1/09,c++,1253
6/1/09,javascript,1557
6/1/09,perl,247
6/1/09,c#,3885
6/1/09,r,5
6/1/09,php,1580
6/1/09,ruby,433
6/1/09,python,1045
6/1/09,swift,1
7/1/09,c#,4411
7/1/09,assembly,32
7/1/09,c++,1468
7/1/09,python,1162
7/1/09,java,2263
7/1/09,perl,259
7/1/09,c,542
7/1/09,delphi,269
7/1/09,javascript,1750
7/1/09,r,51
7/1/09,ruby,500
7/1/09,php,2035
8/1/09,assembly,48
8/1/09,c,530
8/1/09,delphi,246
8/1/09,javascript,1858
8/1/09,perl,252
8/1/09,java,2193
8/1/09,php,2186
8/1/09,c#,4460
8/1/09,r,47
8/1/09,python,1139
8/1/09,c++,1401
8/1/09,ruby,485
8/1/09,swift,2
9/1/09,java,2264
9/1/09,javascript,1755
9/1/09,c#,4356
9/1/09,c,573
9/1/09,assembly,62
9/1/09,php,2268
9/1/09,c++,1465
9/1/09,perl,250
9/1/09,python,1166
9/1/09,delphi,252
9/1/09,ruby,477
9/1/09,r,138
9/1/09,swift,2
10/1/09,assembly,74
10/1/09,delphi,255
10/1/09,javascript,2044
10/1/09,c++,1689
10/1/09,java,2505
10/1/09,c#,4724
10/1/09,c,775
10/1/09,python,1421
10/1/09,perl,282
10/1/09,php,2364
10/1/09,r,73
10/1/09,ruby,493
10/1/09,swift,1
11/1/09,delphi,274
11/1/09,python,1559
11/1/09,c#,4682
11/1/09,c,967
11/1/09,javascript,2227
11/1/09,assembly,82
11/1/09,c++,1758
11/1/09,go,66
11/1/09,ruby,654
11/1/09,perl,323
11/1/09,php,2690
11/1/09,java,2763
11/1/09,swift,2
11/1/09,r,94
12/1/09,delphi,282
12/1/09,php,2830
12/1/09,assembly,62
12/1/09,java,2690
12/1/09,python,1589
12/1/09,c#,4491
12/1/09,perl,262
12/1/09,c,851
12/1/09,r,80
12/1/09,go,11
12/1/09,javascript,2302
12/1/09,ruby,573
12/1/09,c++,1658
12/1/09,swift,1
1/1/10,javascript,2620
1/1/10,assembly,101
1/1/10,c++,2001
1/1/10,python,1949
1/1/10,c#,5116
1/1/10,go,15
1/1/10,c,982
1/1/10,delphi,303
1/1/10,java,3728
1/1/10,perl,302
1/1/10,ruby,686
1/1/10,php,3439
1/1/10,r,94
2/1/10,assembly,69
2/1/10,c,1036
2/1/10,delphi,283
2/1/10,c#,5105
2/1/10,perl,348
2/1/10,java,3582
2/1/10,go,7
2/1/10,javascript,2640
2/1/10,php,3170
2/1/10,r,122
2/1/10,c++,2277
2/1/10,python,1866
2/1/10,swift,2
2/1/10,ruby,688
3/1/10,assembly,122
3/1/10,javascript,2986
3/1/10,go,8
3/1/10,python,2072
3/1/10,delphi,318
3/1/10,c++,2440
3/1/10,c,1118
3/1/10,c#,6039
3/1/10,java,4448
3/1/10,php,3757
3/1/10,perl,392
3/1/10,ruby,696
3/1/10,r,139
4/1/10,javascript,3003
4/1/10,c,1186
4/1/10,delphi,271
4/1/10,python,1816
4/1/10,c#,5786
4/1/10,assembly,124
4/1/10,php,3651
4/1/10,ruby,753
4/1/10,go,10
4/1/10,java,3889
4/1/10,swift,2
4/1/10,c++,2490
4/1/10,r,160
4/1/10,perl,365
5/1/10,java,4177
5/1/10,assembly,108
5/1/10,c++,2423
5/1/10,delphi,280
5/1/10,javascript,3226
5/1/10,perl,287
5/1/10,c,1180
5/1/10,c#,5939
5/1/10,r,139
5/1/10,php,3997
5/1/10,ruby,776
5/1/10,go,17
5/1/10,swift,1
5/1/10,python,2010
6/1/10,assembly,91
6/1/10,java,4290
6/1/10,c#,6153
6/1/10,javascript,3469
6/1/10,delphi,329
6/1/10,c,1155
6/1/10,go,15
6/1/10,c++,2828
6/1/10,php,4099
6/1/10,perl,409
6/1/10,ruby,853
6/1/10,python,2209
